team,season,name,team.1,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
BOS,2025,BOS,BOS,Team Level,5on4,81,0.86,0.86,0.83,21515.0,364.03,46.93,32.98,79.59,12.48,212.55,110.47,42.67,46.93,42.67,304.0,191.0,151.0,646.0,49.0,44.0,8.0,47.0,1.0,189.0,165.0,255.0,446.0,15.0,33.0,226.0,17.0,20.0,71.0,342.0,94.0,59.0,8.85,11.31,26.77,12.0,10.0,27.0,646.0,495.0,495.0,5.0,8.9,9.73,10.0,45.84,45.84,42.54,72.8,7.49,4.0,11.43,2.6,24.08,49.39,7.25,7.49,7.25,80.0,19.0,8.0,107.0,9.0,6.0,2.0,6.0,0.0,20.0,58.0,71.0,90.0,12.0,27.0,160.0,57.0,36.0,41.0,64.0,24.0,11.0,1.71,3.0,2.78,0.0,5.0,4.0,107.0,99.0,99.0,32.0,0.92,1.04,1.04,7.37,7.37,7.32
TBL,2025,TBL,TBL,Team Level,other,81,0.6,0.51,0.52,12500.0,187.63,55.86,13.23,30.4,6.42,96.51,52.58,49.39,55.86,49.39,170.0,85.0,80.0,335.0,40.0,29.0,0.0,22.0,0.0,98.0,66.0,130.0,215.0,10.0,25.0,133.0,32.0,20.0,48.0,94.0,84.0,77.0,4.13,10.4,41.33,5.0,9.0,26.0,335.0,255.0,255.0,23.0,3.86,9.22,8.92,50.79,50.79,47.1,169.35,37.29,12.25,31.96,6.02,87.55,56.92,33.46,37.29,33.46,157.0,75.0,85.0,317.0,32.0,22.0,1.0,21.0,0.0,83.0,74.0,125.0,200.0,8.0,19.0,156.0,45.0,27.0,50.0,120.0,55.0,57.0,4.91,6.9,25.48,7.0,6.0,19.0,317.0,232.0,232.0,10.0,3.47,5.44,5.44,35.32,35.32,32.34
TBL,2025,TBL,TBL,Team Level,all,81,0.54,0.53,0.52,294658.0,2585.2,280.35,179.6,608.49,86.39,1376.64,989.54,262.52,282.27,264.29,2276.0,1245.0,1302.0,4823.0,284.0,305.0,31.0,468.0,3.0,1304.0,1157.0,1992.0,3237.0,388.0,949.0,2125.0,1624.0,332.0,1210.0,2461.0,762.0,298.0,75.94,93.28,111.13,94.0,111.0,79.0,4871.78,3521.0,3545.06,516.0,40.35,64.08,64.08,256.63,258.31,248.4,2396.48,238.66,163.02,581.28,81.55,1269.32,920.17,224.81,238.87,225.01,2169.0,1085.0,1084.0,4338.0,225.0,262.0,24.0,443.0,4.0,1121.0,1199.0,1944.0,3029.0,381.0,907.0,2359.0,1803.0,408.0,1196.0,2380.0,622.0,252.0,72.98,75.78,89.9,87.0,72.0,66.0,4318.8,3254.0,3252.31,566.0,36.74,52.43,52.43,222.96,223.24,215.44
TBL,2025,TBL,TBL,Team Level,5on5,81,0.54,0.53,0.52,235306.0,1992.79,173.75,131.97,497.82,66.66,1059.06,790.75,165.54,175.67,167.31,1734.0,986.0,1071.0,3791.0,193.0,236.0,25.0,379.0,3.0,1008.0,901.0,1541.0,2527.0,346.0,844.0,1635.0,1528.0,262.0,1014.0,2016.0,537.0,167.0,61.58,65.97,46.18,79.0,89.0,25.0,3839.78,2720.0,2744.06,441.0,27.57,46.39,46.39,154.92,156.62,152.72,1816.55,149.08,116.56,463.89,61.54,965.62,719.32,143.33,149.29,143.53,1637.0,839.0,856.0,3332.0,149.0,194.0,17.0,362.0,2.0,842.0,927.0,1488.0,2327.0,334.0,796.0,1763.0,1697.0,328.0,1026.0,1901.0,447.0,128.0,57.69,54.39,37.0,74.0,54.0,21.0,3312.8,2476.0,2474.31,523.0,24.25,37.53,37.53,135.79,136.07,133.64
TBL,2025,TBL,TBL,Team Level,4on5,81,0.09,0.13,0.13,23482.0,52.53,4.38,2.36,7.65,1.51,16.08,38.02,4.32,4.38,4.32,59.0,11.0,16.0,86.0,5.0,2.0,0.0,5.0,0.0,15.0,43.0,54.0,65.0,10.0,22.0,154.0,42.0,41.0,62.0,51.0,17.0,2.0,1.78,2.13,0.47,2.0,2.0,1.0,86.0,70.0,70.0,47.0,0.53,0.18,0.33,4.57,4.57,4.55,353.37,47.01,31.55,76.97,12.22,198.32,103.93,42.87,47.01,42.87,313.0,157.0,132.0,602.0,40.0,44.0,6.0,56.0,1.0,181.0,148.0,273.0,430.0,21.0,42.0,250.0,23.0,21.0,84.0,301.0,110.0,59.0,8.32,13.41,25.28,4.0,11.0,25.0,602.0,470.0,470.0,4.0,8.4,8.85,8.85,46.56,46.56,44.21
TBL,2025,TBL,TBL,Team Level,5on4,81,0.9,0.88,0.86,23370.0,352.26,46.37,32.04,72.63,11.78,204.99,108.19,43.27,46.37,43.27,313.0,163.0,135.0,611.0,46.0,38.0,6.0,62.0,0.0,183.0,147.0,267.0,430.0,22.0,58.0,203.0,22.0,9.0,86.0,300.0,124.0,52.0,8.46,14.77,23.14,8.0,11.0,27.0,611.0,476.0,476.0,5.0,8.41,8.29,8.44,46.34,46.34,44.04,57.21,5.27,2.67,8.45,1.77,17.83,40.01,5.14,5.27,5.14,62.0,14.0,11.0,87.0,4.0,2.0,0.0,4.0,1.0,15.0,50.0,58.0,72.0,18.0,50.0,190.0,38.0,32.0,36.0,58.0,10.0,8.0,2.06,1.07,2.14,2.0,1.0,1.0,87.0,76.0,76.0,29.0,0.62,0.6,0.6,5.29,5.29,5.25
NSH,2025,NSH,NSH,Team Level,other,81,0.48,0.49,0.5,11971.0,182.57,39.75,12.52,33.64,6.18,97.32,59.57,36.73,39.75,36.73,160.0,89.0,59.0,308.0,32.0,23.0,2.0,31.0,0.0,86.0,77.0,128.0,217.0,2.0,4.0,141.0,24.0,20.0,29.0,129.0,65.0,55.0,5.21,8.02,26.53,6.0,8.0,18.0,308.0,249.0,249.0,8.0,3.66,6.93,6.27,37.14,37.14,35.42,180.02,43.77,12.55,31.3,5.91,91.8,60.68,41.51,43.77,41.51,162.0,84.0,71.0,317.0,44.0,13.0,3.0,21.0,0.0,86.0,82.0,118.0,202.0,8.0,16.0,136.0,28.0,20.0,33.0,126.0,62.0,58.0,5.19,7.87,30.7,5.0,16.0,23.0,317.0,246.0,246.0,11.0,3.64,4.16,4.16,43.26,43.26,41.78
NSH,2025,NSH,NSH,Team Level,all,81,0.49,0.51,0.49,295735.0,2544.6,249.28,179.44,611.0,85.76,1363.59,972.95,236.86,248.58,236.24,2263.0,1199.0,1302.0,4764.0,238.0,304.0,32.0,509.0,6.0,1224.0,1181.0,2025.0,3224.0,296.0,641.0,2370.0,1566.0,420.0,1220.0,2567.0,613.0,282.0,74.59,76.84,97.84,85.0,82.0,71.0,4725.46,3462.0,3438.83,595.0,40.2,61.22,62.16,227.31,226.93,220.64,2630.36,263.51,183.02,622.72,87.63,1397.95,1016.16,252.0,265.66,254.03,2391.0,1180.0,1086.0,4657.0,262.0,252.0,39.0,506.0,3.0,1269.0,1279.0,2129.0,3309.0,284.0,625.0,2324.0,1645.0,349.0,1282.0,2615.0,685.0,271.0,78.43,85.3,99.78,84.0,104.0,74.0,4705.45,3571.0,3604.21,568.0,40.83,55.41,55.47,248.88,250.59,244.18
NSH,2025,NSH,NSH,Team Level,5on5,81,0.49,0.5,0.49,238767.0,1955.32,165.28,132.5,493.59,66.1,1043.74,764.8,158.82,164.57,158.21,1713.0,953.0,1097.0,3763.0,149.0,229.0,22.0,409.0,6.0,953.0,920.0,1564.0,2517.0,262.0,573.0,1816.0,1481.0,345.0,1071.0,2032.0,462.0,172.0,59.48,58.35,47.45,66.0,57.0,26.0,3724.46,2666.0,2642.83,545.0,27.64,44.51,44.51,148.41,148.02,145.21,2069.39,170.53,136.08,516.41,69.35,1114.32,819.29,164.64,172.68,166.68,1867.0,959.0,900.0,3726.0,177.0,196.0,31.0,424.0,3.0,1021.0,1005.0,1690.0,2649.0,254.0,567.0,1818.0,1559.0,282.0,1096.0,2178.0,492.0,156.0,64.79,60.61,45.12,75.0,74.0,28.0,3774.45,2826.0,2859.21,515.0,28.32,42.06,42.12,156.73,158.45,155.85
NSH,2025,NSH,NSH,Team Level,4on5,81,0.11,0.15,0.16,22914.0,59.12,5.01,2.88,8.96,1.85,18.93,41.37,4.87,5.01,4.87,65.0,14.0,10.0,89.0,7.0,5.0,0.0,7.0,0.0,15.0,45.0,58.0,72.0,14.0,28.0,199.0,43.0,41.0,40.0,57.0,18.0,4.0,1.49,2.38,1.14,3.0,4.0,0.0,89.0,79.0,79.0,34.0,0.65,0.8,0.8,4.86,4.86,4.82,311.63,42.68,31.17,64.78,10.26,171.25,87.87,39.38,42.68,39.38,293.0,115.0,105.0,513.0,39.0,38.0,5.0,58.0,0.0,145.0,128.0,254.0,369.0,12.0,22.0,187.0,21.0,24.0,108.0,245.0,114.0,49.0,6.19,14.75,21.74,3.0,13.0,23.0,513.0,408.0,408.0,3.0,8.13,8.13,8.13,42.68,42.68,40.36
NSH,2025,NSH,NSH,Team Level,5on4,81,0.86,0.86,0.84,22083.0,347.6,39.24,31.53,74.8,11.62,203.59,107.22,36.44,39.24,36.44,325.0,143.0,136.0,604.0,50.0,47.0,8.0,62.0,0.0,170.0,139.0,275.0,418.0,18.0,36.0,214.0,18.0,14.0,80.0,349.0,68.0,51.0,8.4,8.11,22.73,10.0,13.0,27.0,604.0,468.0,468.0,8.0,8.24,8.96,10.57,36.9,36.9,35.19,69.32,6.53,3.22,10.24,2.13,20.57,48.32,6.45,6.53,6.45,69.0,22.0,10.0,101.0,2.0,5.0,0.0,3.0,0.0,17.0,64.0,67.0,89.0,10.0,20.0,183.0,37.0,23.0,45.0,66.0,17.0,8.0,2.25,2.07,2.21,1.0,1.0,0.0,101.0,91.0,91.0,39.0,0.74,1.06,1.06,6.21,6.21,6.19
LAK,2025,LAK,LAK,Team Level,other,80,0.54,0.47,0.43,10718.0,143.83,39.36,10.23,23.98,4.9,73.25,47.27,35.75,39.36,35.75,117.0,82.0,100.0,299.0,30.0,12.0,5.0,9.0,2.0,82.0,64.0,87.0,169.0,6.0,15.0,144.0,35.0,17.0,47.0,95.0,46.0,58.0,3.64,5.45,30.28,6.0,4.0,20.0,299.0,199.0,199.0,16.0,2.88,4.6,4.6,37.64,37.64,34.35,191.46,33.47,14.53,36.8,6.48,104.24,66.48,30.54,33.47,30.54,177.0,85.0,77.0,339.0,37.0,10.0,1.0,37.0,0.0,99.0,79.0,140.0,225.0,7.0,17.0,152.0,28.0,20.0,36.0,137.0,83.0,42.0,5.53,10.12,17.82,7.0,12.0,18.0,339.0,262.0,262.0,5.0,4.32,2.41,2.41,35.38,35.38,32.48
LAK,2025,LAK,LAK,Team Level,all,80,0.51,0.52,0.51,294295.0,2570.9,242.3,179.3,622.22,87.44,1391.51,1013.23,229.19,241.96,228.89,2236.0,1300.0,1443.0,4979.0,216.0,285.0,23.0,484.0,7.0,1291.0,1253.0,2020.0,3320.0,264.0,580.0,2281.0,1620.0,358.0,1263.0,2669.0,615.0,252.0,77.31,74.41,90.58,86.0,74.0,56.0,4970.83,3536.0,3534.51,570.0,39.92,55.42,55.42,226.81,226.8,219.17,2447.14,235.22,170.43,588.4,83.22,1306.16,956.57,222.59,236.46,223.77,2182.0,1158.0,1278.0,4618.0,231.0,262.0,20.0,490.0,3.0,1158.0,1196.0,1951.0,3109.0,251.0,557.0,2282.0,1585.0,376.0,1167.0,2448.0,668.0,224.0,73.72,81.79,79.71,89.0,79.0,63.0,4639.97,3340.0,3355.25,491.0,38.6,49.74,49.74,224.08,225.31,217.74
LAK,2025,LAK,LAK,Team Level,5on5,80,0.52,0.52,0.52,242073.0,2042.24,160.57,135.05,515.96,68.96,1102.44,821.02,154.94,160.23,154.64,1751.0,1053.0,1196.0,4000.0,148.0,219.0,15.0,414.0,4.0,1016.0,1003.0,1603.0,2656.0,230.0,509.0,1769.0,1518.0,302.0,1105.0,2182.0,480.0,142.0,63.29,58.39,38.9,69.0,60.0,19.0,3991.83,2804.0,2802.51,515.0,28.12,40.86,40.86,147.83,147.83,145.5,1892.45,150.13,125.68,476.66,64.2,1019.62,761.71,145.25,151.37,146.43,1662.0,936.0,1099.0,3697.0,137.0,199.0,14.0,380.0,3.0,935.0,944.0,1525.0,2461.0,225.0,498.0,1755.0,1499.0,304.0,1006.0,2005.0,476.0,117.0,59.43,58.97,31.73,73.0,50.0,14.0,3718.97,2598.0,2613.25,441.0,26.16,36.28,36.32,139.98,141.21,138.96
LAK,2025,LAK,LAK,Team Level,4on5,80,0.11,0.16,0.17,20902.0,59.02,5.65,3.3,9.01,2.08,20.96,42.0,5.51,5.65,5.51,66.0,17.0,7.0,90.0,6.0,4.0,1.0,8.0,0.0,10.0,55.0,60.0,77.0,10.0,22.0,176.0,41.0,26.0,36.0,61.0,13.0,9.0,1.69,1.65,2.31,2.0,2.0,2.0,90.0,83.0,83.0,33.0,0.76,0.81,0.81,5.61,5.61,5.53,300.91,45.47,27.15,65.39,10.58,162.59,85.82,40.76,45.47,40.76,283.0,114.0,92.0,489.0,51.0,46.0,4.0,65.0,0.0,114.0,121.0,232.0,346.0,12.0,26.0,208.0,14.0,16.0,75.0,249.0,90.0,58.0,6.92,10.4,28.16,7.0,14.0,30.0,489.0,397.0,397.0,4.0,7.42,10.37,10.33,42.56,42.56,40.18
LAK,2025,LAK,LAK,Team Level,5on4,80,0.86,0.86,0.84,20602.0,325.82,36.71,30.72,73.26,11.51,194.86,102.94,32.99,36.71,32.99,302.0,148.0,140.0,590.0,32.0,50.0,2.0,53.0,1.0,183.0,131.0,270.0,418.0,18.0,34.0,192.0,26.0,13.0,75.0,331.0,76.0,43.0,8.71,8.92,19.09,9.0,8.0,15.0,590.0,450.0,450.0,6.0,8.16,9.15,9.15,35.73,35.73,33.78,62.32,6.16,3.07,9.55,1.97,19.71,42.55,6.04,6.16,6.04,60.0,23.0,10.0,93.0,6.0,7.0,1.0,8.0,0.0,10.0,52.0,54.0,77.0,7.0,16.0,167.0,44.0,36.0,50.0,57.0,19.0,7.0,1.85,2.3,2.0,2.0,3.0,1.0,93.0,83.0,83.0,41.0,0.7,0.69,0.69,6.17,6.17,6.12
DET,2025,DET,DET,Team Level,other,81,0.52,0.51,0.52,11483.0,174.42,37.04,12.4,33.15,5.92,90.08,56.41,33.64,37.04,33.64,168.0,67.0,71.0,306.0,43.0,23.0,2.0,22.0,0.0,74.0,73.0,125.0,192.0,5.0,10.0,141.0,20.0,23.0,28.0,122.0,61.0,52.0,5.11,7.83,24.1,7.0,10.0,26.0,306.0,235.0,235.0,10.0,3.61,7.21,7.21,33.44,33.44,31.34,154.53,34.09,10.22,30.24,5.68,80.01,53.77,33.09,34.09,33.09,139.0,75.0,78.0,292.0,37.0,13.0,1.0,21.0,1.0,64.0,78.0,102.0,177.0,4.0,8.0,127.0,28.0,18.0,39.0,112.0,55.0,47.0,4.29,6.86,22.93,5.0,9.0,23.0,292.0,214.0,214.0,14.0,2.88,2.63,2.63,34.33,34.33,33.44
DET,2025,DET,DET,Team Level,all,81,0.5,0.49,0.5,295135.0,2600.22,253.87,179.31,631.14,88.71,1389.72,990.26,239.22,254.13,239.43,2290.0,1243.0,1246.0,4779.0,238.0,292.0,28.0,460.0,6.0,1241.0,1296.0,2052.0,3295.0,259.0,549.0,2341.0,1463.0,360.0,1213.0,2576.0,692.0,265.0,74.83,85.44,93.6,78.0,89.0,71.0,4759.36,3533.0,3521.67,550.0,40.54,61.88,61.89,232.53,232.5,225.06,2552.37,249.51,175.47,607.09,85.43,1375.27,998.21,240.06,250.61,241.12,2247.0,1244.0,1428.0,4919.0,246.0,225.0,23.0,505.0,4.0,1249.0,1262.0,2001.0,3245.0,286.0,611.0,2255.0,1745.0,339.0,1148.0,2563.0,678.0,250.0,80.47,81.95,87.11,90.0,74.0,82.0,4930.53,3491.0,3498.43,548.0,38.87,46.4,46.45,241.94,242.89,236.98
DET,2025,DET,DET,Team Level,5on5,81,0.49,0.49,0.5,240706.0,1987.41,158.78,127.76,507.15,68.19,1060.24,790.88,153.11,159.05,153.33,1742.0,971.0,1010.0,3723.0,141.0,211.0,16.0,373.0,5.0,951.0,1032.0,1601.0,2572.0,227.0,489.0,1838.0,1390.0,297.0,1076.0,2084.0,489.0,140.0,59.64,60.82,38.32,64.0,60.0,17.0,3703.36,2713.0,2701.67,500.0,26.57,39.16,39.34,146.02,145.99,143.72,2004.86,166.38,133.05,497.59,66.81,1077.8,798.38,160.49,167.47,161.55,1760.0,980.0,1170.0,3910.0,163.0,179.0,16.0,423.0,3.0,995.0,977.0,1597.0,2577.0,257.0,551.0,1767.0,1657.0,273.0,1018.0,2091.0,501.0,148.0,65.5,61.03,39.85,78.0,56.0,29.0,3921.53,2740.0,2747.43,490.0,27.73,35.16,35.21,158.89,159.85,157.13
DET,2025,DET,DET,Team Level,4on5,81,0.09,0.09,0.11,19657.0,41.72,4.44,2.14,6.69,1.35,12.87,27.51,4.3,4.44,4.3,46.0,9.0,8.0,63.0,3.0,3.0,0.0,4.0,0.0,13.0,32.0,43.0,52.0,11.0,22.0,150.0,39.0,22.0,39.0,35.0,13.0,7.0,1.11,1.46,1.87,0.0,3.0,0.0,63.0,55.0,55.0,36.0,0.49,0.45,0.45,4.48,4.48,4.47,334.5,43.65,28.84,69.83,10.97,198.35,106.36,41.2,43.65,41.2,279.0,179.0,172.0,630.0,42.0,31.0,6.0,57.0,0.0,176.0,152.0,237.0,416.0,20.0,42.0,187.0,4.0,15.0,45.0,308.0,100.0,50.0,9.23,11.41,23.01,5.0,7.0,30.0,630.0,458.0,458.0,2.0,7.49,8.08,8.08,43.06,43.06,40.85
DET,2025,DET,DET,Team Level,5on4,81,0.91,0.89,0.87,23289.0,396.66,53.61,37.0,84.15,13.25,226.53,115.47,48.16,53.61,48.16,334.0,196.0,157.0,687.0,51.0,55.0,10.0,61.0,1.0,203.0,159.0,283.0,479.0,16.0,28.0,212.0,14.0,18.0,70.0,335.0,129.0,66.0,8.96,15.34,29.3,7.0,16.0,28.0,687.0,530.0,530.0,4.0,9.88,15.05,14.89,48.59,48.59,45.53,58.49,5.4,3.37,9.44,1.97,19.12,39.7,5.28,5.4,5.28,69.0,10.0,8.0,87.0,4.0,2.0,0.0,4.0,0.0,14.0,55.0,65.0,75.0,5.0,10.0,174.0,56.0,33.0,46.0,52.0,22.0,5.0,1.44,2.65,1.31,2.0,2.0,0.0,87.0,79.0,79.0,42.0,0.78,0.53,0.53,5.65,5.65,5.56
EDM,2025,EDM,EDM,Team Level,other,81,0.53,0.52,0.53,9255.0,152.94,34.35,11.57,27.42,5.31,81.41,47.95,32.68,34.35,32.68,145.0,63.0,69.0,277.0,38.0,12.0,3.0,22.0,0.0,79.0,57.0,107.0,170.0,6.0,15.0,126.0,18.0,15.0,35.0,97.0,58.0,53.0,4.05,6.86,23.45,7.0,6.0,25.0,277.0,208.0,208.0,17.0,3.41,3.51,3.54,34.22,34.22,32.89,136.03,30.45,9.71,24.58,4.57,74.55,43.15,27.09,30.45,27.09,123.0,64.0,64.0,251.0,25.0,12.0,1.0,21.0,0.0,85.0,44.0,98.0,162.0,7.0,17.0,103.0,18.0,20.0,33.0,98.0,51.0,38.0,3.63,6.25,20.56,4.0,8.0,13.0,251.0,187.0,187.0,11.0,2.91,4.38,4.38,28.98,28.98,26.74
EDM,2025,EDM,EDM,Team Level,all,81,0.51,0.5,0.51,294629.0,2629.63,270.87,186.43,612.73,87.21,1377.99,1012.76,259.34,272.05,260.49,2406.0,1142.0,1183.0,4731.0,276.0,281.0,31.0,495.0,4.0,1190.0,1302.0,2130.0,3272.0,263.0,592.0,2266.0,1524.0,339.0,1274.0,2515.0,735.0,298.0,78.5,90.29,102.08,101.0,87.0,88.0,4760.08,3548.0,3563.28,580.0,41.67,58.67,58.9,253.64,254.88,248.91,2495.57,255.9,174.37,587.37,84.03,1343.01,964.32,242.0,256.48,242.66,2177.0,1232.0,1289.0,4698.0,264.0,270.0,45.0,431.0,4.0,1207.0,1233.0,1913.0,3145.0,268.0,597.0,2052.0,1517.0,411.0,1306.0,2486.0,642.0,281.0,77.41,79.08,99.41,101.0,86.0,77.0,4701.2,3409.0,3416.75,573.0,38.93,58.91,58.91,235.92,236.91,229.58
EDM,2025,EDM,EDM,Team Level,5on5,81,0.52,0.5,0.51,245528.0,2062.7,179.87,138.69,505.11,68.46,1086.1,817.77,172.73,181.05,173.87,1877.0,919.0,983.0,3779.0,172.0,209.0,19.0,423.0,4.0,936.0,1052.0,1705.0,2624.0,238.0,536.0,1783.0,1474.0,291.0,1134.0,2076.0,541.0,179.0,64.24,67.11,48.52,82.0,65.0,25.0,3808.08,2796.0,2811.28,525.0,28.94,42.34,42.63,166.18,167.42,164.57,1968.86,169.11,131.78,485.12,66.73,1063.17,788.09,163.11,169.68,163.77,1695.0,1009.0,1065.0,3769.0,187.0,208.0,33.0,355.0,3.0,940.0,1011.0,1508.0,2517.0,235.0,522.0,1628.0,1456.0,343.0,1160.0,2065.0,471.0,168.0,64.48,58.75,45.88,89.0,65.0,33.0,3772.2,2704.0,2711.75,530.0,27.41,41.0,41.0,155.52,156.51,154.22
EDM,2025,EDM,EDM,Team Level,4on5,81,0.1,0.14,0.16,20493.0,66.91,5.9,3.19,9.38,1.99,21.03,47.51,5.84,5.9,5.84,68.0,21.0,10.0,99.0,5.0,2.0,0.0,3.0,0.0,12.0,67.0,63.0,84.0,8.0,19.0,166.0,20.0,23.0,43.0,66.0,19.0,4.0,2.35,2.4,1.15,3.0,1.0,1.0,99.0,89.0,89.0,34.0,0.72,0.54,0.54,6.09,6.09,6.06,339.83,50.86,30.29,70.68,11.29,189.93,98.93,46.41,50.86,46.41,303.0,149.0,150.0,602.0,46.0,47.0,11.0,49.0,1.0,169.0,140.0,257.0,406.0,16.0,38.0,171.0,13.0,16.0,81.0,281.0,102.0,69.0,7.79,11.72,31.35,7.0,11.0,28.0,602.0,452.0,452.0,4.0,8.01,12.93,12.93,45.95,45.95,43.17
EDM,2025,EDM,EDM,Team Level,5on4,81,0.9,0.88,0.87,19353.0,347.08,50.75,32.98,70.83,11.44,189.45,99.55,48.1,50.75,48.1,316.0,139.0,121.0,576.0,61.0,58.0,9.0,47.0,0.0,163.0,126.0,255.0,394.0,11.0,22.0,191.0,12.0,10.0,62.0,276.0,117.0,62.0,7.86,13.93,28.96,9.0,15.0,37.0,576.0,455.0,455.0,4.0,8.6,12.3,12.2,47.15,47.15,45.4,50.84,5.47,2.6,6.98,1.44,15.36,34.15,5.38,5.47,5.38,56.0,10.0,10.0,76.0,6.0,3.0,0.0,6.0,0.0,13.0,38.0,50.0,60.0,10.0,20.0,150.0,30.0,32.0,32.0,42.0,18.0,6.0,1.5,2.36,1.62,1.0,2.0,3.0,76.0,66.0,66.0,28.0,0.59,0.59,0.59,5.47,5.47,5.43
NJD,2025,NJD,NJD,Team Level,other,81,0.54,0.56,0.55,9932.0,167.82,40.31,13.22,29.22,5.98,92.08,50.19,37.58,40.31,37.58,157.0,74.0,85.0,316.0,41.0,19.0,3.0,13.0,0.0,102.0,56.0,116.0,190.0,1.0,2.0,97.0,24.0,22.0,31.0,120.0,52.0,59.0,5.11,6.54,28.66,6.0,8.0,27.0,316.0,231.0,231.0,10.0,3.72,5.48,5.48,38.54,38.54,36.69,134.2,34.78,10.24,22.71,4.69,73.41,40.16,32.3,34.78,32.3,117.0,69.0,65.0,251.0,29.0,14.0,3.0,17.0,1.0,74.0,51.0,88.0,157.0,2.0,4.0,105.0,33.0,9.0,35.0,86.0,51.0,49.0,3.76,6.2,24.83,1.0,6.0,22.0,251.0,186.0,186.0,13.0,2.98,3.67,3.67,34.09,34.09,32.06
NJD,2025,NJD,NJD,Team Level,all,81,0.51,0.52,0.52,294848.0,2648.66,258.86,186.37,637.52,90.42,1424.73,1021.1,246.23,258.42,245.85,2405.0,1214.0,1336.0,4955.0,226.0,303.0,20.0,457.0,4.0,1367.0,1262.0,2179.0,3393.0,244.0,550.0,2268.0,1506.0,377.0,1296.0,2672.0,670.0,277.0,79.73,82.56,96.57,83.0,77.0,66.0,4920.93,3619.0,3602.93,606.0,41.62,60.72,60.72,239.76,239.28,233.11,2460.98,246.77,175.97,586.83,84.24,1330.88,946.31,234.57,248.39,236.14,2220.0,1151.0,1240.0,4611.0,249.0,289.0,39.0,476.0,4.0,1160.0,1193.0,1971.0,3122.0,237.0,532.0,2205.0,1602.0,375.0,1272.0,2469.0,630.0,272.0,74.94,77.99,93.83,100.0,76.0,73.0,4655.33,3371.0,3402.34,591.0,39.24,58.92,58.92,227.08,228.66,222.08
