team,season,name,team.1,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
BUF,2025,BUF,BUF,Team Level,5on4,81,0.89,0.88,0.87,23118.0,360.6,39.69,33.6,74.96,11.71,214.14,113.91,37.07,39.69,37.07,318.0,170.0,131.0,619.0,47.0,30.0,5.0,66.0,1.0,196.0,148.0,271.0,441.0,12.0,26.0,175.0,8.0,17.0,73.0,354.0,88.0,46.0,9.82,9.98,19.9,9.0,19.0,19.0,619.0,488.0,488.0,4.0,8.78,4.31,4.31,44.16,44.16,41.65,52.69,5.14,2.99,8.28,1.75,17.85,35.99,5.05,5.14,5.05,58.0,14.0,12.0,84.0,5.0,2.0,0.0,5.0,0.0,18.0,42.0,53.0,67.0,9.0,18.0,225.0,52.0,29.0,40.0,49.0,15.0,8.0,1.37,1.73,2.04,0.0,1.0,4.0,84.0,72.0,72.0,33.0,0.68,0.09,0.09,5.72,5.72,5.62
WSH,2025,WSH,WSH,Team Level,other,81,0.59,0.53,0.54,11606.0,181.93,45.91,12.24,34.03,6.67,89.31,58.82,42.54,45.91,42.54,160.0,87.0,81.0,328.0,40.0,25.0,4.0,21.0,1.0,83.0,77.0,120.0,207.0,8.0,19.0,136.0,37.0,18.0,42.0,116.0,60.0,71.0,4.87,7.3,33.75,8.0,1.0,31.0,328.0,247.0,247.0,15.0,3.62,7.1,7.1,42.44,42.44,40.45,152.08,32.01,10.19,28.52,5.16,81.15,50.95,30.54,32.01,30.54,132.0,76.0,88.0,296.0,32.0,11.0,0.0,22.0,1.0,83.0,59.0,100.0,176.0,10.0,23.0,120.0,20.0,16.0,47.0,104.0,59.0,45.0,4.22,7.39,20.4,4.0,9.0,19.0,296.0,208.0,208.0,12.0,2.9,3.46,3.46,31.45,31.45,30.33
WSH,2025,WSH,WSH,Team Level,all,81,0.51,0.49,0.5,295093.0,2590.42,266.73,174.56,623.59,89.27,1361.99,1000.86,253.1,267.59,253.9,2278.0,1239.0,1246.0,4763.0,259.0,292.0,44.0,446.0,6.0,1181.0,1333.0,2019.0,3258.0,299.0,671.0,2156.0,1601.0,371.0,1243.0,2533.0,690.0,294.0,79.32,84.26,103.15,96.0,84.0,79.0,4782.2,3517.0,3531.94,576.0,39.21,61.77,62.13,243.82,244.49,237.58,2608.98,260.26,178.11,622.44,88.73,1385.06,1005.47,248.19,260.86,248.75,2279.0,1262.0,1400.0,4941.0,237.0,278.0,28.0,465.0,6.0,1290.0,1265.0,2042.0,3304.0,289.0,653.0,2219.0,1516.0,364.0,1283.0,2523.0,738.0,280.0,78.1,90.37,91.79,77.0,82.0,78.0,4936.87,3541.0,3538.56,588.0,39.96,55.22,55.97,244.19,244.74,238.98
WSH,2025,WSH,WSH,Team Level,5on5,81,0.5,0.49,0.5,237345.0,1996.5,173.15,127.95,500.48,68.45,1053.16,794.82,166.2,174.0,166.99,1733.0,985.0,1023.0,3741.0,178.0,219.0,32.0,349.0,3.0,909.0,1060.0,1555.0,2540.0,263.0,590.0,1609.0,1493.0,300.0,1081.0,2024.0,536.0,158.0,63.09,65.92,44.14,78.0,75.0,25.0,3760.2,2718.0,2732.94,513.0,26.68,43.94,43.94,155.88,156.56,153.59,1979.68,172.69,128.27,494.47,67.39,1042.79,779.44,166.57,173.29,167.12,1725.0,961.0,1135.0,3821.0,146.0,210.0,18.0,377.0,4.0,974.0,975.0,1579.0,2540.0,255.0,574.0,1707.0,1432.0,302.0,1102.0,1990.0,523.0,173.0,61.45,64.25,46.99,57.0,59.0,30.0,3816.87,2686.0,2683.56,536.0,26.75,39.16,39.65,159.72,160.27,157.72
WSH,2025,WSH,WSH,Team Level,4on5,81,0.09,0.1,0.12,23787.0,54.11,4.89,2.67,8.3,1.84,17.54,37.76,4.84,4.89,4.84,62.0,11.0,12.0,85.0,3.0,0.0,0.0,5.0,0.0,9.0,56.0,59.0,70.0,12.0,27.0,161.0,42.0,35.0,47.0,58.0,6.0,9.0,1.87,0.79,2.23,1.0,1.0,1.0,85.0,73.0,73.0,41.0,0.61,0.0,0.0,5.5,5.5,5.43,409.1,48.45,36.26,89.04,14.02,239.45,128.79,44.22,48.45,44.22,351.0,205.0,169.0,725.0,49.0,52.0,9.0,62.0,1.0,224.0,168.0,302.0,507.0,12.0,27.0,234.0,11.0,13.0,92.0,371.0,132.0,53.0,11.03,15.79,21.63,12.0,12.0,25.0,725.0,556.0,556.0,7.0,9.55,11.02,11.29,46.71,46.71,44.68
WSH,2025,WSH,WSH,Team Level,5on4,81,0.86,0.86,0.84,22355.0,357.88,42.79,31.7,80.78,12.31,201.98,109.45,39.55,42.79,39.55,323.0,156.0,130.0,609.0,38.0,48.0,8.0,71.0,2.0,180.0,140.0,285.0,441.0,16.0,35.0,250.0,29.0,18.0,73.0,335.0,88.0,56.0,9.49,10.26,23.03,9.0,7.0,22.0,609.0,479.0,479.0,7.0,8.3,10.73,11.09,40.0,40.0,38.1,68.14,7.11,3.39,10.41,2.15,21.66,46.28,6.87,7.11,6.87,71.0,20.0,8.0,99.0,10.0,5.0,1.0,4.0,0.0,9.0,63.0,61.0,81.0,12.0,29.0,158.0,53.0,33.0,42.0,58.0,24.0,9.0,1.4,2.94,2.77,4.0,2.0,4.0,99.0,91.0,91.0,33.0,0.77,1.57,1.57,6.32,6.32,6.27
BOS,2025,BOS,BOS,Team Level,other,81,0.45,0.41,0.41,11609.0,148.41,35.59,9.68,27.32,5.45,71.62,52.34,34.16,35.59,34.16,129.0,73.0,70.0,272.0,35.0,13.0,3.0,15.0,1.0,72.0,66.0,94.0,167.0,12.0,27.0,150.0,46.0,23.0,41.0,97.0,53.0,52.0,3.66,6.66,25.27,5.0,8.0,22.0,272.0,202.0,202.0,15.0,2.78,3.53,3.53,34.84,34.84,33.64,217.99,44.0,16.49,41.61,7.8,115.84,63.33,39.9,44.0,39.9,199.0,91.0,98.0,388.0,36.0,25.0,6.0,30.0,0.0,119.0,80.0,163.0,254.0,8.0,19.0,154.0,24.0,19.0,47.0,142.0,91.0,57.0,5.94,11.36,26.7,5.0,9.0,22.0,388.0,290.0,290.0,19.0,4.89,9.5,9.5,39.33,39.33,36.41
BOS,2025,BOS,BOS,Team Level,all,81,0.47,0.49,0.48,295931.0,2522.3,244.81,170.72,614.1,86.67,1338.02,981.68,232.13,245.61,232.94,2189.0,1247.0,1272.0,4708.0,264.0,279.0,31.0,463.0,8.0,1193.0,1229.0,1925.0,3172.0,350.0,812.0,2495.0,1848.0,369.0,1329.0,2565.0,606.0,265.0,74.53,75.03,95.24,112.0,79.0,73.0,4728.64,3436.0,3449.18,631.0,38.4,54.93,55.63,227.57,228.52,221.26,2709.67,275.2,192.36,656.74,93.16,1428.05,1018.56,260.51,275.01,260.39,2414.0,1251.0,1329.0,4994.0,247.0,326.0,30.0,558.0,4.0,1278.0,1252.0,2167.0,3418.0,318.0,737.0,2219.0,1803.0,392.0,1243.0,2594.0,768.0,303.0,77.15,96.3,101.76,87.0,93.0,67.0,4981.51,3665.0,3658.81,525.0,43.67,67.41,67.41,251.4,251.37,243.54
BOS,2025,BOS,BOS,Team Level,5on5,81,0.47,0.49,0.49,237203.0,1953.02,157.14,125.02,498.32,66.74,1034.34,779.45,150.25,157.95,151.07,1692.0,969.0,1039.0,3700.0,178.0,219.0,20.0,398.0,6.0,918.0,942.0,1514.0,2483.0,301.0,698.0,1893.0,1741.0,279.0,1171.0,2068.0,447.0,146.0,60.5,55.31,41.34,95.0,60.0,23.0,3720.64,2661.0,2674.18,571.0,26.02,40.99,41.42,141.74,142.7,139.94,2025.21,175.9,135.27,518.68,69.6,1068.74,787.82,168.58,175.71,168.46,1768.0,988.0,1099.0,3855.0,149.0,242.0,15.0,442.0,4.0,956.0,963.0,1619.0,2607.0,284.0,660.0,1682.0,1708.0,320.0,1058.0,2034.0,546.0,176.0,59.49,68.69,47.74,69.0,65.0,15.0,3842.51,2756.0,2749.81,468.0,28.26,46.98,46.98,157.19,157.16,154.26
BOS,2025,BOS,BOS,Team Level,4on5,81,0.1,0.12,0.13,25604.0,56.84,5.15,3.04,8.87,2.0,19.51,39.42,5.05,5.15,5.05,64.0,14.0,12.0,90.0,2.0,3.0,0.0,3.0,0.0,14.0,56.0,62.0,76.0,22.0,54.0,226.0,44.0,47.0,46.0,58.0,12.0,8.0,1.52,1.76,1.86,0.0,1.0,1.0,90.0,78.0,78.0,40.0,0.7,0.69,0.69,5.15,5.15,5.14,393.67,47.81,36.58,85.02,13.17,219.4,118.02,44.78,47.81,44.78,367.0,153.0,124.0,644.0,53.0,53.0,7.0,80.0,0.0,183.0,151.0,314.0,467.0,14.0,31.0,223.0,14.0,17.0,97.0,354.0,107.0,59.0,10.01,13.25,24.54,13.0,14.0,26.0,644.0,520.0,520.0,6.0,9.61,9.9,9.9,47.51,47.51,45.55
